period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12plus_hrs_from_dta_to_admission,emergency_admissions_via_aande__type_1,emergency_admissions_via_aande__type_2,emergency_admissions_via_aande__other_aande_department,other_emergency_admissions,total_ae_attendances,total_attendances_over_4hrs,four_hour_breach_rate,four_hour_performance_rate,period_clean,period_date,period_month,total_dta_waits_over_4hrs
MSitAE-APRIL-2025,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2333,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,2333,49,2.100300042863266,97.89969995713673,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2528,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,2528,58,2.2943037974683547,97.70569620253164,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6628,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3297,0,0,12,0,0,42,0,0,0,0,0,0,0,0,0,3297,42,1.2738853503184715,98.72611464968153,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,,,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4918,0,969,302,0,32,1081,0,1,63,0,0,185,2,1095,0,0,264,5887,1082,18.3794802106336,81.6205197893664,APRIL-2025,2025-04-01,Apr 2025,187
MSitAE-APRIL-2025,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79,0,0,,,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10067,0,0,0,0,0,3783,0,0,0,0,0,507,609,3107,0,0,751,10067,3783,37.57822588656005,62.42177411343995,APRIL-2025,2025-04-01,Apr 2025,1116
MSitAE-APRIL-2025,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2866,0,0,0,0,0,70,0,0,0,0,0,0,0,3,167,2866,70,2.4424284717376135,97.55757152826239,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15871,0,0,0,0,0,2746,0,0,0,0,0,944,24,2812,0,0,181,15871,2746,17.301997353663914,82.69800264633608,APRIL-2025,2025-04-01,Apr 2025,968
MSitAE-APRIL-2025,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4134,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,4134,265,6.41025641025641,93.58974358974359,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3148,0,0.0,100.0,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1730,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1730,6,0.3468208092485549,99.65317919075144,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,913,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,913,5,0.547645125958379,99.45235487404162,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7431,0,1387,0,0,0,3244,0,0,0,0,0,615,344,1655,0,0,429,8818,3244,36.78838738943071,63.21161261056929,APRIL-2025,2025-04-01,Apr 2025,959
MSitAE-APRIL-2025,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4406,0,0,84,0,69,2314,0,0,0,0,0,163,278,789,0,0,170,4406,2314,52.5192918747163,47.4807081252837,APRIL-2025,2025-04-01,Apr 2025,441
MSitAE-APRIL-2025,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7386,0,9340,0,0,1895,3650,0,556,0,0,73,318,13,2656,0,124,2332,16726,4206,25.146478536410378,74.85352146358963,APRIL-2025,2025-04-01,Apr 2025,331
MSitAE-APRIL-2025,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,13070,0,0,0,0,0,194,0,0,0,0,0,0,0,0,58,13070,194,1.4843152257077277,98.51568477429227,APRIL-2025,2025-04-01,Apr 2025,0
MSitAE-APRIL-2025,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,9195,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,9195,31,0.33713974986405654,99.66286025013595,APRIL-2025,2025-04-01,Apr 2025,0
