org_name,total_ae_attendances,total_attendances_over_4hrs,average_four_hour_breach_rate,average_four_hour_performance_rate
EAST CHESHIRE NHS TRUST,53202,28236,53.07319273711515,46.92680726288485
THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,160372,76983,48.00276856309081,51.99723143690919
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,107136,44929,41.936417264038234,58.063582735961766
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,169370,69778,41.19855936706618,58.80144063293382
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,233327,95477,40.919824966677666,59.080175033322334
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,129342,52034,40.22977841691021,59.77022158308979
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,120332,48189,40.04670411860519,59.95329588139481
SURREY AND SUSSEX HEALTHCARE NHS TRUST,127380,50172,39.387658973151204,60.612341026848796
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,92778,35799,38.58565608226088,61.41434391773912
TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,134368,51199,38.103566325315555,61.896433674684445
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,161013,60774,37.7447783719327,62.2552216280673
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,450266,169154,37.5675711690423,62.4324288309577
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,129198,48245,37.3419093174817,62.6580906825183
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,289149,107549,37.1950101850603,62.8049898149397
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",96172,35202,36.60316932163208,63.39683067836792
WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,118419,43163,36.4493873449362,63.5506126550638
NORTH BRISTOL NHS TRUST,110606,40157,36.30634866101297,63.69365133898703
AIREDALE NHS FOUNDATION TRUST,74983,27120,36.168198124908315,63.831801875091685
STOCKPORT NHS FOUNDATION TRUST,107944,38743,35.89175868969095,64.10824131030904
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,54622,19480,35.663285855516094,64.3367141444839
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,234375,83384,35.577173333333334,64.42282666666667
BOLTON NHS FOUNDATION TRUST,143532,50996,35.529359306635456,64.47064069336454
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,361528,127607,35.29657453917815,64.70342546082185
WYE VALLEY NHS TRUST,85527,30168,35.27307166158055,64.72692833841944
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,155688,54737,35.1581367863933,64.8418632136067
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,172235,60241,34.97605016402009,65.02394983597992
ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,127426,43842,34.405851239150564,65.59414876084944
UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,253436,85382,33.68976783093168,66.31023216906831
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,280398,93535,33.35794121213418,66.64205878786582
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,157573,52316,33.20111948112938,66.79888051887062
EAST SUSSEX HEALTHCARE NHS TRUST,136108,44635,32.79381079730802,67.20618920269197
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,222864,72167,32.381631847225215,67.61836815277479
UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,218093,69763,31.98773000508957,68.01226999491043
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,308985,98753,31.960451154586796,68.03954884541321
ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,204279,65015,31.82657052364658,68.17342947635342
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,338381,107511,31.77217396957867,68.22782603042133
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,190538,60055,31.518647198983928,68.48135280101607
UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,230053,71994,31.294527782728327,68.70547221727168
THE ROTHERHAM NHS FOUNDATION TRUST,111229,34447,30.96944142265057,69.03055857734944
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,142044,43876,30.88902030356791,69.11097969643208
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,203081,62475,30.763586943140915,69.23641305685908
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,137460,42215,30.7107522188273,69.2892477811727
NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,198770,60478,30.42612064194798,69.57387935805203
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,106040,32236,30.39984911354206,69.60015088645794
NORTH WEST ANGLIA NHS FOUNDATION TRUST,235762,71505,30.329315156810683,69.67068484318932
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,183647,55460,30.19924093505475,69.80075906494525
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,119309,35989,30.164530756271528,69.83546924372847
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,217860,65566,30.095474157715962,69.90452584228404
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,425375,127633,30.004819277108435,69.99518072289156
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,295786,88195,29.8171651126152,70.1828348873848
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,145670,42690,29.30596553854603,70.69403446145397
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,414213,120791,29.161566633591896,70.83843336640811
