org_name,patients_who_have_waited_4-12_hs_from_dta_to_admission,patients_who_have_waited_12+_hrs_from_dta_to_admission,total_dta_waits_over_4hrs,total_ae_attendances,dta_12hr_rate_per_1000_attendances
THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5746,16915,22661,160372,105.4735241
WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,7893,10072,17965,118419,85.05391871
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4735,7784,12519,92778,83.89920024
EAST CHESHIRE NHS TRUST,2566,4105,6671,53202,77.15875343
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6310,9311,15621,129342,71.98744414
PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,10092,11685,21777,176501,66.20359091
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,7771,9944,17715,158195,62.85912956
SURREY AND SUSSEX HEALTHCARE NHS TRUST,6482,7748,14230,127380,60.82587533
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,6683,8672,15355,157573,55.03480926
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,5881,6447,12328,120332,53.57677093
UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,10799,13254,24053,253436,52.29722691
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11098,12165,23263,234375,51.904
TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,5313,6933,12246,134368,51.59710645
NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,8435,9469,17904,198770,47.63797354
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5094,7154,12248,150226,47.62158348
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,32451,21023,53474,450266,46.69017869
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,5913,14153,20066,307425,46.03724486
ROYAL FREE LONDON NHS FOUNDATION TRUST,12491,22650,35141,507130,44.66310414
GEORGE ELIOT HOSPITAL NHS TRUST,3821,4600,8421,103271,44.54299852
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7911,6257,14168,142044,44.04973107
EAST LANCASHIRE HOSPITALS NHS TRUST,5452,12747,18199,294870,43.22921966
NORTH WEST ANGLIA NHS FOUNDATION TRUST,6691,9680,16371,235762,41.05835546
MEDWAY NHS FOUNDATION TRUST,4349,7695,12044,187887,40.95546791
"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",1747,1494,3241,37100,40.26954178
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,12860,11069,23929,280398,39.4760305
NORTH BRISTOL NHS TRUST,6400,4238,10638,110606,38.31618538
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16522,11762,28284,308985,38.06657281
STOCKPORT NHS FOUNDATION TRUST,7865,4001,11866,107944,37.06551545
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,11855,6183,18038,169370,36.50587471
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,2593,8451,11044,233327,36.21955453
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6176,3840,10016,106040,36.21274991
NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,7459,4601,12060,129198,35.61200638
CROYDON HEALTH SERVICES NHS TRUST,3113,7632,10745,216749,35.21123512
WEST SUFFOLK NHS FOUNDATION TRUST,5258,3650,8908,103793,35.16614801
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7394,7448,14842,223899,33.26499895
WYE VALLEY NHS TRUST,5270,2818,8088,85527,32.94865949
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,12557,13870,26427,425375,32.60652366
UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7248,6110,13358,190538,32.06709423
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6576,3613,10189,113340,31.87753662
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,18058,8904,26962,295786,30.10284462
BOLTON NHS FOUNDATION TRUST,6125,4245,10370,143532,29.57528635
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,15490,8530,24020,289149,29.50036141
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12092,5349,17441,183647,29.12653079
AIREDALE NHS FOUNDATION TRUST,5070,2139,7209,74983,28.526466
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,12791,9629,22420,338381,28.45608944
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,4784,4476,9260,161013,27.7989976
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,9429,6016,15445,222864,26.99404121
WHITTINGTON HEALTH NHS TRUST,3010,2880,5890,107773,26.72283411
